No.	Functions	DeviceProperty Code / Command Id	Mode	ILX-LR1	ILCE-1M2	ILCE-1	ILCE-9M3	ILCE-9M2	ILCE-7RM5	ILCE-7RM4A	ILCE-7RM4	ILCE-7CR	ILCE-7SM3	ILCE-7M4	ILCE-7CM2	ILCE-7C	ILCE-6700	MPC-2610	ILME-FX6	ILME-FX2	ILME-FX3A	ILME-FX3	ILME-FX30	PXW-Z200	HXR-NX800	ZV-E1	ZV-E10M2	DSC-RX0M2	ILME-FR7	BRC-AM7
474	Auto Switch Media	:ref:`CrDeviceProperty_AutoSwitchMedia<dp-AutoSwitchMedia>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
475	Recording File Number	:ref:`CrDeviceProperty_RecordingFileNumber<dp-RecordingFileNumber>`	R/T	\-	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
476	Recording File Number(Movie)	:ref:`CrDeviceProperty_Movie_RecordingFileNumber<dp-Movie_RecordingFileNumber>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
477	Recording Setting File Name	:ref:`CrDeviceProperty_RecordingSettingFileName<dp-RecordingSettingFileName>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
478	Recording Folder Format	:ref:`CrDeviceProperty_RecordingFolderFormat<dp-RecordingFolderFormat>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
479	Create New Folder	:ref:`CrDeviceProperty_CreateNewFolder<dp-CreateNewFolder>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
480	Create New Folder Enable Status	:ref:`CrDeviceProperty_CreateNewFolderEnableStatus<dp-CreateNewFolderEnableStatus>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
481	Select IPTC Metadata	:ref:`CrDeviceProperty_SelectIPTCMetadata<dp-SelectIPTCMetadata>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
482	Write Copyright Info	:ref:`CrDeviceProperty_WriteCopyrightInfo<dp-WriteCopyrightInfo>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
483	Set Photographer	:ref:`CrDeviceProperty_SetPhotographer<dp-SetPhotographer>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
484	Set Copyright	:ref:`CrDeviceProperty_SetCopyright<dp-SetCopyright>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
485	File Settings Title Name Settings	:ref:`CrDeviceProperty_FileSettingsTitleNameSettings<dp-FileSettingsTitleNameSettings>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
486	Forced File Number Reset	:ref:`CrCommandId_ForcedFileNumberReset<command-ForcedFileNumberReset>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-
487	Forced File Number Reset Enable Status	:ref:`CrDeviceProperty_ForcedFileNumberResetEnableStatus<dp-ForcedFileNumberResetEnableStatus>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-
488	Focus Bracket Recording Folder	:ref:`CrDeviceProperty_FocusBracketRecordingFolder<dp-FocusBracketRecordingFolder>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
489	Release Without Lens	:ref:`CrDeviceProperty_ReleaseWithoutLens<dp-ReleaseWithoutLens>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
490	Release Without Card	:ref:`CrDeviceProperty_ReleaseWithoutCard<dp-ReleaseWithoutCard>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
491	Grid Line Display	:ref:`CrDeviceProperty_GridLineDisplay<dp-GridLineDisplay>`	R/T	\-	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
492	Continuous Shooting Speed in Electric Shutter(Hi+)	:ref:`CrDeviceProperty_ContinuousShootingSpeedInElectricShutterHiPlus<dp-ContinuousShootingSpeedInElectricShutterHiPlus>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
493	Continuous Shooting Speed in Electric Shutter(Hi)	:ref:`CrDeviceProperty_ContinuousShootingSpeedInElectricShutterHi<dp-ContinuousShootingSpeedInElectricShutterHi>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
494	Continuous Shooting Speed in Electric Shutter(Mid)	:ref:`CrDeviceProperty_ContinuousShootingSpeedInElectricShutterMid<dp-ContinuousShootingSpeedInElectricShutterMid>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
495	Continuous Shooting Speed in Electric Shutter(Lo)	:ref:`CrDeviceProperty_ContinuousShootingSpeedInElectricShutterLo<dp-ContinuousShootingSpeedInElectricShutterLo>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
496	ISO Auto Range Limit Min	:ref:`CrDeviceProperty_IsoAutoRangeLimitMin<dp-IsoAutoRangeLimitMin>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
497	ISO Auto Range Limit Max	:ref:`CrDeviceProperty_IsoAutoRangeLimitMax<dp-IsoAutoRangeLimitMax>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
498	Face Priority in Multi Metering	:ref:`CrDeviceProperty_FacePriorityInMultiMetering<dp-FacePriorityInMultiMetering>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
499	Priority Set in AWB	:ref:`CrDeviceProperty_PrioritySetInAWB<dp-PrioritySetInAWB>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
500	CustomWB Size Setting	:ref:`CrDeviceProperty_CustomWB_Size_Setting<dp-CustomWB_Size_Setting>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
501	AF Illuminator	:ref:`CrDeviceProperty_AFIlluminator<dp-AFIlluminator>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-
502	Aperture Drive in AF	:ref:`CrDeviceProperty_ApertureDriveInAF<dp-ApertureDriveInAF>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-
503	AF with Shutter	:ref:`CrDeviceProperty_AFWithShutter<dp-AFWithShutter>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
504	Full Time DMF	:ref:`CrDeviceProperty_FullTimeDMF<dp-FullTimeDMF>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
505	Pre-AF	:ref:`CrDeviceProperty_PreAF<dp-PreAF>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
506	Subject Recognition Person Tracking Subject Shift Range	:ref:`CrDeviceProperty_SubjectRecognitionPersonTrackingSubjectShiftRange<dp-SubjectRecognitionPersonTrackingSubjectShiftRange>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
507	Subject Recognition Animal+Bird Priority	:ref:`CrDeviceProperty_SubjectRecognitionAnimalBirdPriority<dp-SubjectRecognitionAnimalBirdPriority>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
508	Subject Recognition Animal+Bird Detection Parts	:ref:`CrDeviceProperty_SubjectRecognitionAnimalBirdDetectionParts<dp-SubjectRecognitionAnimalBirdDetectionParts>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
509	Subject Recognition Animal (Still) Tracking Subject Shift Range	:ref:`CrDeviceProperty_SubjectRecognitionAnimalTrackingSubjectShiftRange<dp-SubjectRecognitionAnimalTrackingSubjectShiftRange>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
510	Subject Recognition Animal (Still) Tracking Sensitivity	:ref:`CrDeviceProperty_SubjectRecognitionAnimalTrackingSensitivity<dp-SubjectRecognitionAnimalTrackingSensitivity>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
511	Subject Recognition Animal (Still) Detection Sensitivity	:ref:`CrDeviceProperty_SubjectRecognitionAnimalDetectionSensitivity<dp-SubjectRecognitionAnimalDetectionSensitivity>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
512	Subject Recognition Animal (Still) Detection Parts	:ref:`CrDeviceProperty_SubjectRecognitionAnimalDetectionParts<dp-SubjectRecognitionAnimalDetectionParts>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
513	Subject Recognition Bird Tracking Subject Shift Range	:ref:`CrDeviceProperty_SubjectRecognitionBirdTrackingSubjectShiftRange<dp-SubjectRecognitionBirdTrackingSubjectShiftRange>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
514	Subject Recognition Bird Tracking Sensitivity	:ref:`CrDeviceProperty_SubjectRecognitionBirdTrackingSensitivity<dp-SubjectRecognitionBirdTrackingSensitivity>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
515	Subject Recognition Bird Detection Sensitivity	:ref:`CrDeviceProperty_SubjectRecognitionBirdDetectionSensitivity<dp-SubjectRecognitionBirdDetectionSensitivity>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
516	Subject Recognition Bird Detection Parts	:ref:`CrDeviceProperty_SubjectRecognitionBirdDetectionParts<dp-SubjectRecognitionBirdDetectionParts>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
517	Subject Recognition Insect Tracking Subject Shift Range	:ref:`CrDeviceProperty_SubjectRecognitionInsectTrackingSubjectShiftRange<dp-SubjectRecognitionInsectTrackingSubjectShiftRange>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
518	Subject Recognition Insect Tracking Sensitivity	:ref:`CrDeviceProperty_SubjectRecognitionInsectTrackingSensitivity<dp-SubjectRecognitionInsectTrackingSensitivity>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
519	Subject Recognition Insect Detection Sensitivity	:ref:`CrDeviceProperty_SubjectRecognitionInsectDetectionSensitivity<dp-SubjectRecognitionInsectDetectionSensitivity>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
520	Subject Recognition Car/Train Tracking Subject Shift Range	:ref:`CrDeviceProperty_SubjectRecognitionCarTrainTrackingSubjectShiftRange<dp-SubjectRecognitionCarTrainTrackingSubjectShiftRange>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
521	Subject Recognition Car/Train Tracking Sensitivity	:ref:`CrDeviceProperty_SubjectRecognitionCarTrainTrackingSensitivity<dp-SubjectRecognitionCarTrainTrackingSensitivity>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
522	Subject Recognition Car/Train Detection Sensitivity	:ref:`CrDeviceProperty_SubjectRecognitionCarTrainDetectionSensitivity<dp-SubjectRecognitionCarTrainDetectionSensitivity>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
523	Subject Recognition Plane Tracking Subject Shift Range	:ref:`CrDeviceProperty_SubjectRecognitionPlaneTrackingSubjectShiftRange<dp-SubjectRecognitionPlaneTrackingSubjectShiftRange>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
524	Subject Recognition Plane Tracking Sensitivity	:ref:`CrDeviceProperty_SubjectRecognitionPlaneTrackingSensitivity<dp-SubjectRecognitionPlaneTrackingSensitivity>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
525	Subject Recognition Plane Detection Sensitivity	:ref:`CrDeviceProperty_SubjectRecognitionPlaneDetectionSensitivity<dp-SubjectRecognitionPlaneDetectionSensitivity>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-
526	Subject Recognition Priority on Registered Face	:ref:`CrDeviceProperty_SubjectRecognitionPriorityOnRegisteredFace<dp-SubjectRecognitionPriorityOnRegisteredFace>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
527	Face/Eye Frame Display	:ref:`CrDeviceProperty_FaceEyeFrameDisplay<dp-FaceEyeFrameDisplay>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
528	Focus  Map	:ref:`CrDeviceProperty_FocusMap<dp-FocusMap>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	✔	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	✔	✔	\-	\-	\-
529	Initial Focus Magnifier	:ref:`CrDeviceProperty_InitialFocusMagnifier<dp-InitialFocusMagnifier>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
530	AF in Focus Magnifier	:ref:`CrDeviceProperty_AFInFocusMagnifier<dp-AFInFocusMagnifier>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
531	AF Track for Speed Change	:ref:`CrDeviceProperty_AFTrackForSpeedChange<dp-AFTrackForSpeedChange>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
532	AF Free Size and Position Setting	:ref:`CrDeviceProperty_AFFreeSizeAndPositionSetting<dp-AFFreeSizeAndPositionSetting>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
533	Default AF Free Size and Position Setting	:ref:`CrDeviceProperty_DefaultAFFreeSizeAndPositionSetting<dp-DefaultAFFreeSizeAndPositionSetting>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
534	Tracking On + AF On Button	:ref:`CrCommandId_TrackingOnAndAFOn<command-TrackingOnAndAFOn>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
535	Tracking On + AF On Enable Status	:ref:`CrDeviceProperty_TrackingOnAndAFOnEnableStatus<dp-TrackingOnAndAFOnEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	✔	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	✔	✔	\-	\-	\-
536	Program Shift Status	:ref:`CrDeviceProperty_ProgramShiftStatus<dp-ProgramShiftStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
537	Metered Manual Level	:ref:`CrDeviceProperty_MeteredManualLevel<dp-MeteredManualLevel>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
538	Zoom&Focus Preset Data Version	:ref:`CrDeviceProperty_ZoomAndFocusPresetDataVersion<dp-ZoomAndFocusPresetDataVersion>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
539	Zoom&Focus Preset Zoom-only Set	:ref:`CrDeviceProperty_ZoomAndFocusPresetZoomOnly_Set<dp-ZoomAndFocusPresetZoomOnly_Set>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
540	Play Set of Multi Media	:ref:`CrDeviceProperty_PlaySetOfMultiMedia<dp-PlaySetOfMultiMedia>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
541	Remote Save Image Size	:ref:`CrDeviceProperty_RemoteSaveImageSize<dp-RemoteSaveImageSize>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-
542	FTP Transfer Still Image Quality Size	:ref:`CrDeviceProperty_FTP_TransferStillImageQualitySize<dp-FTP_TransferStillImageQualitySize>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-
543	Auto FTP Transfer Target(Still)	:ref:`CrDeviceProperty_FTP_AutoTransferTarget_StillImage<dp-FTP_AutoTransferTarget_StillImage>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
544	Protect Image in FTP Transfer	:ref:`CrDeviceProperty_ProtectImageInFTPTransfer<dp-ProtectImageInFTPTransfer>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
545	Monitor Brightness Type	:ref:`CrDeviceProperty_MonitorBrightnessType<dp-MonitorBrightnessType>`	R/T	\-	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-
546	Monitor Brightness Manual	:ref:`CrDeviceProperty_MonitorBrightnessManual<dp-MonitorBrightnessManual>`	R/T	\-	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
547	Display Quality (Finder/Monitor)	:ref:`CrDeviceProperty_DisplayQualityFinder<dp-DisplayQualityFinder>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
548	TC/UB Display Setting	:ref:`CrDeviceProperty_TCUBDisplaySetting<dp-TCUBDisplaySetting>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
549	Gamma Display Assist	:ref:`CrDeviceProperty_GammaDisplayAssist<dp-GammaDisplayAssist>`	R/T	\-	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
550	Gamma Display Assist Type	:ref:`CrDeviceProperty_GammaDisplayAssistType<dp-GammaDisplayAssistType>`	R/T	\-	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
551	Audio Signals (Start/End)	:ref:`CrDeviceProperty_AudioSignalsStartEnd<dp-AudioSignalsStartEnd>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
552	Audio Signals Volume	:ref:`CrDeviceProperty_AudioSignalsVolume<dp-AudioSignalsVolume>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
553	Control for HDMI	:ref:`CrDeviceProperty_ControlForHDMI<dp-ControlForHDMI>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
554	Anti-dust Shutter When Power Off	:ref:`CrDeviceProperty_AntidustShutterWhenPowerOff<dp-AntidustShutterWhenPowerOff>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
555	Wake On LAN	:ref:`CrDeviceProperty_WakeOnLAN<dp-WakeOnLAN>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
556	Second Battery Remaining	:ref:`CrDeviceProperty_SecondBatteryRemain<dp-SecondBatteryRemain>`	R/C/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
557	Second Battery Level Indicator	:ref:`CrDeviceProperty_SecondBatteryLevel<dp-SecondBatteryLevel>`	R/C/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
558	Total Battery Remaining	:ref:`CrDeviceProperty_TotalBatteryRemain<dp-TotalBatteryRemain>`	R/C/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
559	Total Battery Level Indicator	:ref:`CrDeviceProperty_TotalBatteryLevel<dp-TotalBatteryLevel>`	R/C/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
560	Body Serial Number	:ref:`CrDeviceProperty_BodySerialNumber<dp-BodySerialNumber>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
561	Shutter Release	:ref:`CrDeviceProperty_S2<dp-S2>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
562	Camera Lever Function	:ref:`CrDeviceProperty_CameraLeverFunction<dp-CameraLeverFunction>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
563	Tele/Wide Lever  Value capability	:ref:`CrDeviceProperty_TeleWideLeverValueCapability<dp-TeleWideLeverValueCapability>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
